大分類,中分類
収入,立て替え
収入,クレジット返金
収入,給与
収入,一時所得
収入,事業・副業
収入,年金
収入,配当所得
収入,不動産所得
収入,不明な入金
収入,その他入金
食費,飲料
食費,食費
食費,食料品
食費,外食
食費,朝ご飯
食費,昼ご飯
食費,夜ご飯
食費,カフェ
食費,その他食費
日用品,文具
日用品,日用品
日用品,子育て用品
日用品,ドラッグストア
日用品,おこづかい
日用品,ペット用品
日用品,タバコ
日用品,その他日用品
趣味・娯楽,カラオケ
趣味・娯楽,ギャンブル
趣味・娯楽,風呂
趣味・娯楽,ライブ
趣味・娯楽,チェキ
趣味・娯楽,ロッカー
趣味・娯楽,ネカフェ
趣味・娯楽,ダンス
趣味・娯楽,オフ会
趣味・娯楽,アウトドア
趣味・娯楽,ゴルフ
趣味・娯楽,スポーツ
趣味・娯楽,映画・音楽・ゲーム
趣味・娯楽,本
趣味・娯楽,旅行
趣味・娯楽,秘密の趣味
趣味・娯楽,その他趣味・娯楽
交際費,交際費
交際費,飲み会
交際費,プレゼント代
交際費,冠婚葬祭
交際費,その他交際費
交通費,交通費
交通費,電車
交通費,バス
交通費,タクシー
交通費,飛行機
交通費,その他交通費
衣服・美容,インテリア
衣服・美容,衣服
衣服・美容,クリーニング
衣服・美容,美容院・理髪
衣服・美容,化粧品
衣服・美容,アクセサリー
衣服・美容,その他衣服・美容
健康・医療,フィットネス
健康・医療,ボディケア
健康・医療,医療費
健康・医療,薬
健康・医療,その他健康・医療
自動車,車設備
自動車,自動車ローン
自動車,道路料金
自動車,ガソリン
自動車,駐車場
自動車,車両
自動車,車検・整備
自動車,自動車保険
自動車,その他自動車
教養・教育,試験受験料
教養・教育,学会参加費
教養・教育,書籍
教養・教育,新聞・雑誌
教養・教育,習いごと
教養・教育,学費
教養・教育,塾
教養・教育,その他教養・教育
特別な支出,旅費
特別な支出,家具・家電
特別な支出,住宅・リフォーム
特別な支出,その他特別な支出
現金・カード,ATM引き出し
現金・カード,カード引き落とし
現金・カード,電子マネー
現金・カード,使途不明金
現金・カード,その他現金・カード
水道・光熱費,光熱費
水道・光熱費,電気代
水道・光熱費,ガス・灯油代
水道・光熱費,水道代
水道・光熱費,その他水道・光熱費
通信費,サーバ運用費
通信費,携帯電話
通信費,固定電話
通信費,インターネット
通信費,放送視聴料
通信費,情報サービス
通信費,宅配便・運送
通信費,その他通信費
住宅,住宅
住宅,家賃・地代
住宅,ローン返済
住宅,管理費・積立金
住宅,地震・火災保険
住宅,その他住宅
税・社会保障,奨学金返済
税・社会保障,自動車税
税・社会保障,所得税・住民税
税・社会保障,年金保険料
税・社会保障,健康保険
税・社会保障,その他税・社会保障
保険,生命保険
保険,医療保険
保険,その他保険
その他,立て替え
その他,盗難
その他,貸与
その他,仕送り
その他,事業経費
その他,事業原価
その他,事業投資
その他,寄付金
その他,雑費
未分類,未分類
