大分類,中分類
1,立て替え
1,貸与返済
1,ポイント・割引
1,クレジット返金
1,ギャンブル
1,給与
1,一時所得
1,事業・副業
1,年金
1,配当所得
1,不動産所得
1,不明な入金
1,その他入金
2,飲料
2,食費
2,食料品
2,外食
2,朝ご飯
2,昼ご飯
2,夜ご飯
2,カフェ
2,その他食費
3,文具
3,日用品
3,子育て用品
3,ドラッグストア
3,おこづかい
3,ペット用品
3,タバコ
3,その他日用品
4,ライブ
4,アイドル物販
4,オフ会
4,風呂
4,ダンス
4,カラオケ
4,ネカフェ
4,ギャンブル
4,ロッカー
4,動画・配信
4,アウトドア
4,ゴルフ
4,スポーツ
4,映画・音楽・ゲーム
4,本
4,旅行
4,秘密の趣味
4,その他趣味・娯楽
5,交際費
5,飲み会
5,プレゼント代
5,冠婚葬祭
5,その他交際費
6,交通費
6,電車
6,バス
6,タクシー
6,飛行機
6,その他交通費
7,衣服
7,クリーニング
7,美容院・理髪
7,化粧品
7,アクセサリー
7,その他衣服・美容
8,フィットネス
8,ボディケア
8,医療費
8,薬
8,その他健康・医療
9,車設備
9,自動車ローン
9,道路料金
9,ガソリン
9,駐車場
9,車両
9,車検・整備
9,自動車保険
9,その他自動車
10,試験受験料
10,学会参加費
10,書籍
10,新聞・雑誌
10,習いごと
10,学費
10,塾
10,その他教養・教育
11,インテリア
11,家具・家電
11,住宅・リフォーム
11,その他特別な支出
12,ATM引き出し
12,カード引き落とし
12,電子マネー
12,使途不明金
12,その他現金・カード
13,光熱費
13,電気代
13,ガス・灯油代
13,水道代
13,その他水道・光熱費
14,インフラ費
14,携帯電話
14,固定電話
14,インターネット
14,放送視聴料
14,情報サービス
14,宅配便・運送
14,その他通信費
15,住宅
15,家賃・地代
15,ローン返済
15,管理費・積立金
15,地震・火災保険
15,その他住宅
16,奨学金返済
16,自動車税
16,所得税・住民税
16,年金保険料
16,健康保険
16,その他税・社会保障
17,生命保険
17,医療保険
17,その他保険
18,立て替え
18,盗難
18,貸与
18,仮想通貨
18,仕送り
18,事業経費
18,事業原価
18,事業投資
18,寄付金
18,雑費
19,未分類
